,markets,cursor
0,"{'ticker': 'KXCPIGAS-25FEB-T-0.5', 'event_ticker': 'KXCPIGAS-25FEB', 'market_type': 'binary', 'title': 'Will gas CPI rise more than -0.5% in February 2025?', 'subtitle': '-0.5%', 'yes_sub_title': 'Above -0.5%', 'no_sub_title': 'Above -0.5%', 'open_time': '2025-03-09T13:35:37Z', 'close_time': '2025-03-12T12:25:00Z', 'expected_expiration_time': '2025-03-12T14:00:00Z', 'expiration_time': '2025-03-19T14:00:00Z', 'latest_expiration_time': '2025-03-19T14:00:00Z', 'settlement_timer_seconds': 3600, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 51, 'yes_ask': 74, 'no_bid': 26, 'no_ask': 49, 'last_price': 75, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 350, 'volume_24h': 350, 'liquidity': 317722, 'open_interest': 350, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'greater', 'floor_strike': -0.5, 'rules_primary': 'If gas prices increase by more than -0.5% in February 2025, then the market resolves to Yes.', 'rules_secondary': ''}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
1,"{'ticker': 'KXMEASLES-2531-2000', 'event_ticker': 'KXMEASLES-2531', 'market_type': 'binary', 'title': 'Will there be more than 2000 measles cases in 2025?', 'subtitle': 'Above 2000', 'yes_sub_title': 'Above 2000', 'no_sub_title': 'Above 2000', 'open_time': '2025-03-09T13:30:50Z', 'close_time': '2026-01-01T04:59:00Z', 'expected_expiration_time': '2026-01-02T19:14:15Z', 'expiration_time': '2026-12-31T15:00:00Z', 'latest_expiration_time': '2026-12-31T15:00:00Z', 'settlement_timer_seconds': 3600, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 0, 'yes_ask': 0, 'no_bid': 100, 'no_ask': 100, 'last_price': 0, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 0, 'volume_24h': 0, 'liquidity': 0, 'open_interest': 0, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'greater', 'floor_strike': 2000, 'rules_primary': 'If the number of measles in 2025 is above 2000, then the market resolves to Yes.', 'rules_secondary': ''}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
2,"{'ticker': 'KXHIGHLAX-25MAR10-T65', 'event_ticker': 'KXHIGHLAX-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in LA** be >65° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '66° or above', 'no_sub_title': '66° or above', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T06:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 1800, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 22, 'yes_ask': 25, 'no_bid': 75, 'no_ask': 78, 'last_price': 22, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 21, 'volume_24h': 21, 'liquidity': 289408, 'open_interest': 21, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'greater', 'floor_strike': 65, 'rules_primary': ""If the highest temperature recorded in Los Angeles Airport, CA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 65°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
3,"{'ticker': 'KXHIGHLAX-25MAR10-B64.5', 'event_ticker': 'KXHIGHLAX-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in LA** be 64-65° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '64° to 65°', 'no_sub_title': '64° to 65°', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T06:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 1800, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 27, 'yes_ask': 33, 'no_bid': 67, 'no_ask': 73, 'last_price': 0, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 0, 'volume_24h': 0, 'liquidity': 329898, 'open_interest': 0, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'between', 'floor_strike': 64, 'cap_strike': 65, 'rules_primary': ""If the highest temperature recorded in Los Angeles Airport, CA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 64-65°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
4,"{'ticker': 'KXHIGHLAX-25MAR10-B62.5', 'event_ticker': 'KXHIGHLAX-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in LA** be 62-63° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '62° to 63°', 'no_sub_title': '62° to 63°', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T06:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 1800, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 26, 'yes_ask': 28, 'no_bid': 72, 'no_ask': 74, 'last_price': 26, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 26, 'volume_24h': 26, 'liquidity': 328070, 'open_interest': 26, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'between', 'floor_strike': 62, 'cap_strike': 63, 'rules_primary': ""If the highest temperature recorded in Los Angeles Airport, CA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 62-63°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
5,"{'ticker': 'KXHIGHLAX-25MAR10-B60.5', 'event_ticker': 'KXHIGHLAX-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in LA** be 60-61° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '60° to 61°', 'no_sub_title': '60° to 61°', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T06:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 1800, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 12, 'yes_ask': 13, 'no_bid': 87, 'no_ask': 88, 'last_price': 12, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 26, 'volume_24h': 26, 'liquidity': 266706, 'open_interest': 26, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'between', 'floor_strike': 60, 'cap_strike': 61, 'rules_primary': ""If the highest temperature recorded in Los Angeles Airport, CA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 60-61°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
6,"{'ticker': 'KXHIGHLAX-25MAR10-B58.5', 'event_ticker': 'KXHIGHLAX-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in LA** be 58-59° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '58° to 59°', 'no_sub_title': '58° to 59°', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T06:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 1800, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 1, 'yes_ask': 3, 'no_bid': 97, 'no_ask': 99, 'last_price': 0, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 0, 'volume_24h': 0, 'liquidity': 214509, 'open_interest': 0, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'between', 'floor_strike': 58, 'cap_strike': 59, 'rules_primary': ""If the highest temperature recorded in Los Angeles Airport, CA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 58-59°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
7,"{'ticker': 'KXHIGHLAX-25MAR10-T58', 'event_ticker': 'KXHIGHLAX-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in LA** be <58° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '57° or below', 'no_sub_title': '57° or below', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T06:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 1800, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 0, 'yes_ask': 2, 'no_bid': 98, 'no_ask': 100, 'last_price': 0, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 0, 'volume_24h': 0, 'liquidity': 196707, 'open_interest': 0, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'less', 'cap_strike': 58, 'rules_primary': ""If the highest temperature recorded in Los Angeles Airport, CA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 58°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
8,"{'ticker': 'KXHIGHPHIL-25MAR10-T65', 'event_ticker': 'KXHIGHPHIL-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in Philadelphia** be >65° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '66° or above', 'no_sub_title': '66° or above', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T03:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 300, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 30, 'yes_ask': 34, 'no_bid': 66, 'no_ask': 70, 'last_price': 30, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 29, 'volume_24h': 29, 'liquidity': 621152, 'open_interest': 29, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'greater', 'floor_strike': 65, 'rules_primary': ""If the highest temperature recorded in Philadelphia, PA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is greater than 65°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
9,"{'ticker': 'KXHIGHPHIL-25MAR10-B64.5', 'event_ticker': 'KXHIGHPHIL-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in Philadelphia** be 64-65° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '64° to 65°', 'no_sub_title': '64° to 65°', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T03:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 300, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 38, 'yes_ask': 40, 'no_bid': 60, 'no_ask': 62, 'last_price': 38, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 13, 'volume_24h': 13, 'liquidity': 592500, 'open_interest': 13, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'between', 'floor_strike': 64, 'cap_strike': 65, 'rules_primary': ""If the highest temperature recorded in Philadelphia, PA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is between 64-65°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
10,"{'ticker': 'KXHIGHPHIL-25MAR10-T58', 'event_ticker': 'KXHIGHPHIL-25MAR10', 'market_type': 'binary', 'title': 'Will the **high temp in Philadelphia** be <58° on Mar 10, 2025?', 'subtitle': '', 'yes_sub_title': '57° or below', 'no_sub_title': '57° or below', 'open_time': '2025-03-09T14:00:00Z', 'close_time': '2025-03-11T03:59:00Z', 'expected_expiration_time': '2025-03-11T14:00:00Z', 'expiration_time': '2025-03-17T14:00:00Z', 'latest_expiration_time': '2025-03-17T14:00:00Z', 'settlement_timer_seconds': 300, 'status': 'active', 'response_price_units': 'usd_cent', 'notional_value': 100, 'tick_size': 1, 'yes_bid': 0, 'yes_ask': 2, 'no_bid': 98, 'no_ask': 100, 'last_price': 0, 'previous_yes_bid': 0, 'previous_yes_ask': 0, 'previous_price': 0, 'volume': 0, 'volume_24h': 0, 'liquidity': 366957, 'open_interest': 0, 'result': '', 'can_close_early': True, 'expiration_value': '', 'category': '', 'risk_limit_cents': 0, 'strike_type': 'less', 'cap_strike': 58, 'rules_primary': ""If the highest temperature recorded in Philadelphia, PA for March 10, 2025 as reported by the National Weather Service's Climatological Report (Daily), is less than 58°, then the market resolves to Yes."", 'rules_secondary': 'Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.'}",CgwIqt20vgYQkLSEvgMSHEtYRVVSVVNESC0yNU1BUjEwMTAtVDEuMDgwOTk
