,events,clobRewards,spread,bestBid,bestAsk,id,conditionId,slug,endDate,liquidity,startDate,outcomes,outcomePrices,volume,active,closed,updatedAt,new,resolvedBy,groupItemTitle
0,"[{'id': '17546', 'ticker': 'us-withdraws-from-syria-before-july', 'slug': 'us-withdraws-from-syria-before-july', 'title': 'U.S. withdraws from Syria before July?', 'description': 'This market will resolve to ""Yes"" if the United States withdraws all conventional combat forces from Syria by June 30, 2025, 11:59 PM ET.\n\nThis market refers only to conventional U.S. military forces operating under the Ministry of Defense, such as ground forces, air forces, or naval personnel. The presence of private military contractors (PMCs), military advisors, or special operations forces will not disqualify the market from resolving to ""Yes,"" provided there are no conventional U.S. military forces actively operating in Syria.\n\nFor this market to resolve to ""Yes,"" it is sufficient that the United States announces all conventional combat forces have withdrawn from all Syrian territory, regardless of whether some Syrian territory remains under their control.\n\nThe primary resolution source for this market will be official statements from the U.S. government be a consensus of credible reporting may also be used.', 'resolutionSource': '', 'startDate': '2025-02-05T19:12:36.208668Z', 'creationDate': '2025-02-05T19:12:36.208664Z', 'endDate': '2025-04-29T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/us-withdraws-from-syria-in-trumps-first-100-days-fZgyl6aJim5a.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/us-withdraws-from-syria-in-trumps-first-100-days-fZgyl6aJim5a.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 4118.7294, 'volume': 11888.13885, 'openInterest': 0, 'createdAt': '2025-01-31T00:10:34.088211Z', 'updatedAt': '2025-03-08T20:59:04.001516Z', 'competitive': 0.865033195648883, 'enableOrderBook': True, 'liquidityClob': 4118.7294, 'commentCount': 5, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': True, 'enableNegRisk': False, 'automaticallyActive': True, 'negRiskAugmented': False}]","[{'id': '15214', 'conditionId': '0xa870dbf3b02508881eb73e723ff184065786f90ac3d7e47f5713c776b84e1bad', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 15, 'startDate': '2025-02-05', 'endDate': '2500-12-31'}]",0.01,0.1,0.11,521098,0xa870dbf3b02508881eb73e723ff184065786f90ac3d7e47f5713c776b84e1bad,us-withdraws-from-syria-before-july,2025-04-29T12:00:00Z,4118.9622,2025-02-05T19:12:22.895643Z,"[""Yes"", ""No""]","[""0.105"", ""0.895""]",11888.13885,True,False,2025-03-08T21:00:37.694675Z,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
1,"[{'id': '17691', 'ticker': 'will-trump-remove-blanket-tariff-on-mexico-before-may', 'slug': 'will-trump-remove-blanket-tariff-on-mexico-before-may', 'title': 'Will Trump remove tariff on Mexico before May?', 'description': ""On February 1, Donald Trump imposed a 25% tariff on imports from Mexico (see: https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-imposes-tariffs-on-imports-from-canada-mexico-and-china/)\n\nThis market will resolve to “Yes” if Donald Trump signs any federal legislation or performs any executive action which removes the 25% general tariff on Mexico by April 30, 2025, 11:59 PM ET. Otherwise this market will resolve to “No”.\n\nActions which remove the general 25% tariff will qualify even if there are item specific exceptions for which the tariff still applies. However, lowering the general tariff below 25% without removing it will not qualify.  \n\nAny action which is officially enacted within the market's time frame will qualify, regardless of when the removal goes into effect.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used."", 'resolutionSource': '', 'startDate': '2025-02-02T19:11:44.72528Z', 'creationDate': '2025-02-02T19:11:44.725277Z', 'endDate': '2025-04-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-remove-blanket-tariff-on-mexico-before-may-zKSdjPUWj4zp.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-remove-blanket-tariff-on-mexico-before-may-zKSdjPUWj4zp.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 6134.6336, 'volume': 273659.594866, 'openInterest': 0, 'createdAt': '2025-02-02T18:39:54.279029Z', 'updatedAt': '2025-03-08T20:59:03.830933Z', 'competitive': 0.9975062344139651, 'volume24hr': 4175.60932, 'enableOrderBook': True, 'liquidityClob': 6134.6336, 'commentCount': 52, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': True, 'enableNegRisk': False, 'automaticallyActive': True, 'negRiskAugmented': False}]","[{'id': '14925', 'conditionId': '0xc2977e9fb0745aca8fd1f6b8a30f57acde9bb1b1e1b9e51d2556a096e52a04e6', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 40, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.02,0.54,0.56,521455,0xc2977e9fb0745aca8fd1f6b8a30f57acde9bb1b1e1b9e51d2556a096e52a04e6,will-trump-remove-blanket-tariff-on-mexico-before-may,2025-04-30T12:00:00Z,6134.6336,2025-02-02T19:10:58.858Z,"[""Yes"", ""No""]","[""0.55"", ""0.45""]",273659.594866,True,False,2025-03-08T20:58:36.426791Z,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
2,"[{'id': '17692', 'ticker': 'will-trump-remove-blanket-tariff-on-canada-before-may', 'slug': 'will-trump-remove-blanket-tariff-on-canada-before-may', 'title': 'Will Trump remove tariff on Canada before May?', 'description': ""On February 1, Donald Trump imposed a 25% tariff on imports from Canada (see: https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-imposes-tariffs-on-imports-from-canada-mexico-and-china/)\n\nThis market will resolve to “Yes” if Donald Trump signs any federal legislation or performs any executive action which removes the 25% general tariff on Canada by April 30, 2025, 11:59 PM ET. Otherwise this market will resolve to “No”.\n\nActions which remove the general 25% tariff will qualify even if there are item specific exceptions for which the tariff still applies. However, lowering the general tariff below 25% without removing it will not qualify.  \n\nAny action which is officially enacted within the market's time frame will qualify, regardless of when the removal goes into effect.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used."", 'resolutionSource': '', 'startDate': '2025-02-02T19:11:45.445537Z', 'creationDate': '2025-02-02T19:11:45.445534Z', 'endDate': '2025-04-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-remove-blanket-tariff-on-canada-before-may-ynmuFiJ0Z6X4.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-remove-blanket-tariff-on-canada-before-may-ynmuFiJ0Z6X4.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 3240.309, 'volume': 192318.916748, 'openInterest': 0, 'createdAt': '2025-02-02T18:42:15.005385Z', 'updatedAt': '2025-03-08T20:59:02.766986Z', 'competitive': 0.9833808634083981, 'volume24hr': 6100.983298, 'enableOrderBook': True, 'liquidityClob': 3240.309, 'commentCount': 98, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': True, 'enableNegRisk': False, 'automaticallyActive': True, 'negRiskAugmented': False}]","[{'id': '14924', 'conditionId': '0x219c11d6f896e92af5f5947f8bebb41952cc55d9b764ee4a3171c4803203ec2b', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 30, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.02,0.36,0.38,521456,0x219c11d6f896e92af5f5947f8bebb41952cc55d9b764ee4a3171c4803203ec2b,will-trump-remove-blanket-tariff-on-canada-before-may,2025-04-30T12:00:00Z,3240.309,2025-02-02T19:11:04.823Z,"[""Yes"", ""No""]","[""0.37"", ""0.63""]",192318.916748,True,False,2025-03-08T21:01:03.627604Z,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
3,"[{'id': '17693', 'ticker': 'will-trump-remove-blanket-tariff-on-china-before-may', 'slug': 'will-trump-remove-blanket-tariff-on-china-before-may', 'title': 'Will Trump remove tariff on China before May?', 'description': ""On February 1, Donald Trump imposed a 10% tariff on imports from China (see: https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-imposes-tariffs-on-imports-from-canada-mexico-and-china/)\n\nThis market will resolve to “Yes” if Donald Trump signs any federal legislation or performs any executive action which removes the 10% general tariff on China by April 30, 2025, 11:59 PM ET. Otherwise this market will resolve to “No”.\n\nActions which remove the general 10% tariff will qualify even if there are item specific exceptions for which the tariff still applies. However, lowering the general tariff below 10% without removing it will not qualify.  \n\nAny action which is officially enacted within the market's time frame will qualify, regardless of when the removal goes into effect.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used."", 'resolutionSource': '', 'startDate': '2025-02-02T19:11:45.449215Z', 'creationDate': '2025-02-02T19:11:45.449213Z', 'endDate': '2025-04-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-remove-blanket-tariff-on-china-before-may-w_UjEghECfy-.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-remove-blanket-tariff-on-china-before-may-w_UjEghECfy-.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 5702.565, 'volume': 37614.65994, 'openInterest': 0, 'createdAt': '2025-02-02T18:44:59.692383Z', 'updatedAt': '2025-03-08T20:59:01.555714Z', 'competitive': 0.8470089994706194, 'volume24hr': 12.5, 'enableOrderBook': True, 'liquidityClob': 5702.565, 'commentCount': 4, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': True, 'enableNegRisk': False, 'automaticallyActive': True, 'negRiskAugmented': False}]","[{'id': '14923', 'conditionId': '0x53a5acfebe01d8a2dd73693dc7646e8144a6c611cac2a438b69c700dd979a911', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 30, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.01,0.07,0.08,521457,0x53a5acfebe01d8a2dd73693dc7646e8144a6c611cac2a438b69c700dd979a911,will-trump-remove-blanket-tariff-on-china-before-may,2025-04-30T12:00:00Z,5492.4561,2025-02-02T19:11:08.957Z,"[""Yes"", ""No""]","[""0.075"", ""0.925""]",37614.65994,True,False,2025-03-08T21:00:38.287887Z,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
4,"[{'id': '17698', 'ticker': 'will-trump-increase-tariffs-on-mexico-before-may', 'slug': 'will-trump-increase-tariffs-on-mexico-before-may', 'title': 'Will Trump increase tariffs on Mexico before May?', 'description': ""On February 1, Donald Trump imposed a 25% tariff on imports from Mexico (see: https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-imposes-tariffs-on-imports-from-canada-mexico-and-china/).\n\nThis market will resolve to “Yes” if Donald Trump signs any federal legislation or performs any executive action which imposes additional sanctions or increases the 25% general tariff on Mexico by April 30, 2025, 11:59 PM ET. Otherwise this market will resolve to “No”.\n\nOnly tariffs specifically targeting Mexico will qualify. For example, a new global tariff (tariffs on all imports into the U.S.) will not count toward this market's resolution.\n\nAny action which is officially enacted within the market's time frame will qualify, regardless of when the removal goes into effect.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used.\n"", 'resolutionSource': '', 'startDate': '2025-02-02T21:53:43.200799Z', 'creationDate': '2025-02-02T21:53:43.200796Z', 'endDate': '2025-04-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-increase-tariffs-on-mexico-before-may-8aMpgutlF8LK.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-increase-tariffs-on-mexico-before-may-8aMpgutlF8LK.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 256.42276, 'volume': 19919.954346, 'openInterest': 0, 'createdAt': '2025-02-02T19:26:16.482984Z', 'updatedAt': '2025-03-08T20:59:02.519847Z', 'competitive': 0.8638495381428444, 'volume24hr': 1020.060618, 'enableOrderBook': True, 'liquidityClob': 256.42276, 'commentCount': 7, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': True, 'enableNegRisk': False, 'automaticallyActive': True, 'negRiskAugmented': False}]","[{'id': '14948', 'conditionId': '0xaeadfdcaf812f6b7c533d0424338e1a88b5da35a2e54b43ec030c54286a6180b', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.054,0.076,0.13,521462,0xaeadfdcaf812f6b7c533d0424338e1a88b5da35a2e54b43ec030c54286a6180b,will-trump-increase-tariffs-on-mexico-before-may,2025-04-30T12:00:00Z,236.48346,2025-02-02T21:52:10.47267Z,"[""Yes"", ""No""]","[""0.103"", ""0.897""]",19935.33896,True,False,2025-03-08T21:00:58.873444Z,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
5,"[{'id': '17699', 'ticker': 'will-trump-increase-tariffs-on-canada-before-may', 'slug': 'will-trump-increase-tariffs-on-canada-before-may', 'title': 'Will Trump increase tariffs on Canada before May?', 'description': ""On February 1, Donald Trump imposed a 25% tariff on imports from Canada (see: https://www.whitehouse.gov/fact-sheets/2025/02/fact-sheet-president-donald-j-trump-imposes-tariffs-on-imports-from-canada-mexico-and-china/).\n\nThis market will resolve to “Yes” if Donald Trump signs any federal legislation or performs any executive action which imposes additional sanctions or increases the 25% general tariff on Canada by April 30, 2025, 11:59 PM ET. Otherwise this market will resolve to “No”.\n\nOnly tariffs specifically targeting Canada will qualify. For example, a new global tariff (tariffs on all imports into the U.S.) will not count toward this market's resolution.\n\nAny action which is officially enacted within the market's time frame will qualify, regardless of when the removal goes into effect.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used.\n"", 'resolutionSource': '', 'startDate': '2025-02-02T21:53:43.204029Z', 'creationDate': '2025-02-02T21:53:43.204026Z', 'endDate': '2025-04-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-increase-tariffs-on-canada-before-may-CG38E4QwpQ2b.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-trump-increase-tariffs-on-canada-before-may-CG38E4QwpQ2b.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 655.334, 'volume': 50399.753789, 'openInterest': 0, 'createdAt': '2025-02-02T19:34:16.971265Z', 'updatedAt': '2025-03-08T20:59:02.63899Z', 'competitive': 0.9148921570869833, 'volume24hr': 785.10165, 'enableOrderBook': True, 'liquidityClob': 655.334, 'commentCount': 25, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': True, 'enableNegRisk': False, 'automaticallyActive': True, 'negRiskAugmented': False}]","[{'id': '14947', 'conditionId': '0x764d117785396915741ed433c69ec2404c600f65f316aa15186e24bb52e9a4fa', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.02,0.8,0.82,521463,0x764d117785396915741ed433c69ec2404c600f65f316aa15186e24bb52e9a4fa,will-trump-increase-tariffs-on-canada-before-may,2025-04-30T12:00:00Z,721.758,2025-02-02T21:52:45.778688Z,"[""Yes"", ""No""]","[""0.81"", ""0.19""]",50399.753789,True,False,2025-03-08T21:00:42.278756Z,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
6,"[{'id': '17703', 'ticker': 'will-mavericks-fire-gm-nico-harrison', 'slug': 'will-mavericks-fire-gm-nico-harrison', 'title': 'Will Mavericks fire GM Nico Harrison?', 'description': 'This market will resolve to “Yes” if it is announced that Nico Harrison has been fired or has resigned or otherwise ceases to be the general manager of the Dallas Mavericks, by July 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to “No.”\n\nThe resolution source for this market official statements by Nico Harrison and the Dallas Mavericks, however a consensus of credible reporting may also be used. ', 'resolutionSource': '', 'startDate': '2025-02-02T21:53:42.767163Z', 'creationDate': '2025-02-02T21:53:42.767161Z', 'endDate': '2025-07-31T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-nico-harrison-get-fired-aY1sbZmhHmEF.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/will-nico-harrison-get-fired-aY1sbZmhHmEF.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 88.67126, 'volume': 1129.289179, 'openInterest': 0, 'createdAt': '2025-02-02T20:11:03.119802Z', 'updatedAt': '2025-03-08T20:59:04.19156Z', 'competitive': 0.6903113196749456, 'enableOrderBook': True, 'liquidityClob': 88.67126, 'commentCount': 3, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': True, 'enableNegRisk': False, 'automaticallyActive': True, 'negRiskAugmented': False}]",,0.228,0.042,0.27,521467,0xaa01d293f90d81088f3764b971476b6576c5d32f4eb19e2759ee99ddc3b03299,will-mavericks-fire-gm-nico-harrison,2025-07-31T12:00:00Z,88.67126,2025-02-02T21:52:16.471Z,"[""Yes"", ""No""]","[""0.156"", ""0.844""]",1129.289179,True,False,2025-03-08T21:00:16.500586Z,False,0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,
7,"[{'id': '17704', 'ticker': 'how-large-will-trump-eu-tariffs-be', 'slug': 'how-large-will-trump-eu-tariffs-be', 'title': ""How large will Trump's EU tariffs be?"", 'description': ""This market will resolve according to the size of the first general tariff enacted by the Trump administration on imports into the United States from the European Union (EU). \n\nIf the Trump administration does not impose a general tariff on the EU by June 30, 2025, 11:59 PM ET this market will resolve to the lowest bracket.\n\nIf the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.\n\nA general tariff that includes item specific exceptions will still qualify, as long as a policy of a general tariff on imports into the United States from the European Unions is enacted.\n\nAny tariff which is officially enacted within the market's time frame will qualify, regardless of when the tariff goes into effect.\n\nOnly tariffs specifically targeting the EU will qualify. For example, a new global tariff (tariffs on all imports into the U.S.) or a tariff on specific EU member states will not count toward this market's resolution.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used."", 'resolutionSource': '', 'startDate': '2025-02-02T21:55:42.882148Z', 'creationDate': '2025-02-02T21:55:42.882144Z', 'endDate': '2025-06-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/how-large-will-trump-eu-tariffs-be-3bme3SGogxrw.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/how-large-will-trump-eu-tariffs-be-3bme3SGogxrw.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 34172.4053, 'volume': 1042933.882397, 'openInterest': 0, 'createdAt': '2025-02-02T20:40:23.50108Z', 'updatedAt': '2025-03-08T20:59:03.878754Z', 'competitive': 0.9880446596186148, 'volume24hr': 3613.918721, 'enableOrderBook': True, 'liquidityClob': 34172.4053, 'negRisk': True, 'negRiskMarketID': '0xd525ceea9215dacdd975d1f6af5c2500c6d411036cf9960ec9f93247b045b400', 'commentCount': 44, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': False}]","[{'id': '14942', 'conditionId': '0x39e8a1119c4f2a1f9755cf471aefa6fe67bf656e3dc0c9ea6801996bfa4cc4f7', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 10, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.02,0.38,0.4,521468,0x39e8a1119c4f2a1f9755cf471aefa6fe67bf656e3dc0c9ea6801996bfa4cc4f7,will-trump-impose-no-general-tariff-on-the-eu-by-june-30,2025-06-30T12:00:00Z,5142.5479,2025-02-02T21:55:20.448928Z,"[""Yes"", ""No""]","[""0.39"", ""0.61""]",52357.900043,True,False,2025-03-08T21:00:35.739883Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,No blanket tariff by June 30
8,"[{'id': '17704', 'ticker': 'how-large-will-trump-eu-tariffs-be', 'slug': 'how-large-will-trump-eu-tariffs-be', 'title': ""How large will Trump's EU tariffs be?"", 'description': ""This market will resolve according to the size of the first general tariff enacted by the Trump administration on imports into the United States from the European Union (EU). \n\nIf the Trump administration does not impose a general tariff on the EU by June 30, 2025, 11:59 PM ET this market will resolve to the lowest bracket.\n\nIf the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.\n\nA general tariff that includes item specific exceptions will still qualify, as long as a policy of a general tariff on imports into the United States from the European Unions is enacted.\n\nAny tariff which is officially enacted within the market's time frame will qualify, regardless of when the tariff goes into effect.\n\nOnly tariffs specifically targeting the EU will qualify. For example, a new global tariff (tariffs on all imports into the U.S.) or a tariff on specific EU member states will not count toward this market's resolution.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used."", 'resolutionSource': '', 'startDate': '2025-02-02T21:55:42.882148Z', 'creationDate': '2025-02-02T21:55:42.882144Z', 'endDate': '2025-06-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/how-large-will-trump-eu-tariffs-be-3bme3SGogxrw.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/how-large-will-trump-eu-tariffs-be-3bme3SGogxrw.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 34172.4053, 'volume': 1042933.882397, 'openInterest': 0, 'createdAt': '2025-02-02T20:40:23.50108Z', 'updatedAt': '2025-03-08T20:59:03.878754Z', 'competitive': 0.9880446596186148, 'volume24hr': 3613.918721, 'enableOrderBook': True, 'liquidityClob': 34172.4053, 'negRisk': True, 'negRiskMarketID': '0xd525ceea9215dacdd975d1f6af5c2500c6d411036cf9960ec9f93247b045b400', 'commentCount': 44, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': False}]","[{'id': '14941', 'conditionId': '0x99f8e35bc9c879895d9ed9f34b2ac6d3eacfbcdb7f2905a90ade12394383c714', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 5, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.02,0.019,0.039,521469,0x99f8e35bc9c879895d9ed9f34b2ac6d3eacfbcdb7f2905a90ade12394383c714,will-trump-impose-a-blanket-tariff-of-less-than-10-on-the-eu-by-june-30,2025-06-30T12:00:00Z,4845.12156,2025-02-02T21:53:01.894166Z,"[""Yes"", ""No""]","[""0.029"", ""0.971""]",53899.249086,True,False,2025-03-08T21:00:51.146969Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,<10%
9,"[{'id': '17704', 'ticker': 'how-large-will-trump-eu-tariffs-be', 'slug': 'how-large-will-trump-eu-tariffs-be', 'title': ""How large will Trump's EU tariffs be?"", 'description': ""This market will resolve according to the size of the first general tariff enacted by the Trump administration on imports into the United States from the European Union (EU). \n\nIf the Trump administration does not impose a general tariff on the EU by June 30, 2025, 11:59 PM ET this market will resolve to the lowest bracket.\n\nIf the reported value falls exactly between two brackets, then this market will resolve to the higher range bracket.\n\nA general tariff that includes item specific exceptions will still qualify, as long as a policy of a general tariff on imports into the United States from the European Unions is enacted.\n\nAny tariff which is officially enacted within the market's time frame will qualify, regardless of when the tariff goes into effect.\n\nOnly tariffs specifically targeting the EU will qualify. For example, a new global tariff (tariffs on all imports into the U.S.) or a tariff on specific EU member states will not count toward this market's resolution.\n\nThis market's primary resolution source will be official information from the Trump administration, however a consensus of credible information will also be used."", 'resolutionSource': '', 'startDate': '2025-02-02T21:55:42.882148Z', 'creationDate': '2025-02-02T21:55:42.882144Z', 'endDate': '2025-06-30T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/how-large-will-trump-eu-tariffs-be-3bme3SGogxrw.jpg', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/how-large-will-trump-eu-tariffs-be-3bme3SGogxrw.jpg', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 34172.4053, 'volume': 1042933.882397, 'openInterest': 0, 'createdAt': '2025-02-02T20:40:23.50108Z', 'updatedAt': '2025-03-08T20:59:03.878754Z', 'competitive': 0.9880446596186148, 'volume24hr': 3613.918721, 'enableOrderBook': True, 'liquidityClob': 34172.4053, 'negRisk': True, 'negRiskMarketID': '0xd525ceea9215dacdd975d1f6af5c2500c6d411036cf9960ec9f93247b045b400', 'commentCount': 44, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': False}]","[{'id': '14940', 'conditionId': '0x41191dfe588a3609eb7b390e619766b40c5bc20a6cf2970b8cba6634c18eef8a', 'assetAddress': '0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 'rewardsAmount': 0, 'rewardsDailyRate': 15, 'startDate': '2025-02-02', 'endDate': '2500-12-31'}]",0.01,0.21,0.22,521470,0x41191dfe588a3609eb7b390e619766b40c5bc20a6cf2970b8cba6634c18eef8a,will-trump-impose-a-blanket-tariff-of-10-20-on-the-eu-by-june-30,2025-06-30T12:00:00Z,5685.2788,2025-02-02T21:53:44.86007Z,"[""Yes"", ""No""]","[""0.215"", ""0.785""]",262531.885596,True,False,2025-03-08T21:00:43.029673Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,10-20%
