,events,clobRewards,spread,bestBid,bestAsk,id,conditionId,slug,endDate,liquidity,startDate,outcomes,outcomePrices,volume,active,closed,updatedAt,new,resolvedBy,groupItemTitle
0,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.09,0.16,0.25,525528,0x5fc9f2bcee3566a981e7d1ee449a2e44cebc2fd35dd1457d2fdd1e5f23b602b4,will-scottie-scheffler-win-the-2025-masters,2025-04-13T12:00:00Z,161.7994,2025-03-03T19:46:19.024699Z,"[""Yes"", ""No""]","[""0.205"", ""0.795""]",125.0,True,False,2025-03-09T15:18:45.148211Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Scottie Scheffler
1,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.08,0.01,0.09,525529,0xcb8162298a401d327612bccf5a784109894c45dbe51f8b2abaf006a964d2802a,will-xander-schauffele-win-the-2025-masters,2025-04-13T12:00:00Z,141.93,2025-03-03T20:01:59.717714Z,"[""Yes"", ""No""]","[""0.05"", ""0.95""]",172.0,True,False,2025-03-09T15:18:13.937075Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Xander Schauffele
2,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.16,0.01,0.17,525530,0x5cbed2da6aafc562a3eac928fd621978713634ec1cc167cd74fd39499581181b,will-rory-mcilroy-win-the-2025-masters,2025-04-13T12:00:00Z,128.69,2025-03-03T20:02:25.673881Z,"[""Yes"", ""No""]","[""0.09"", ""0.91""]",20.0,True,False,2025-03-09T15:18:16.791042Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Rory McIlroy
3,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.03,0.039,0.069,525531,0xca031ab7ec648bc575852cb54fc1f0c618885817ec50f2cc29bc72a4e19d214a,will-collin-morikawa-win-the-2025-masters,2025-04-13T12:00:00Z,439.222,2025-03-03T20:03:00.66855Z,"[""Yes"", ""No""]","[""0.054"", ""0.946""]",1277.0,True,False,2025-03-09T15:18:27.164946Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Collin Morikawa
4,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.12,0.01,0.13,525532,0xf2ac47929c6f7112146b9de14f367b3e436953576acf78f9432835d30196b629,will-ludvig-aberg-win-the-2025-masters,2025-04-13T12:00:00Z,136.11,2025-03-03T20:03:39.103924Z,"[""Yes"", ""No""]","[""0.07"", ""0.93""]",198.75,True,False,2025-03-09T15:18:46.701272Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Ludvig Aberg
5,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.01,0.01,0.02,525533,0x5d5636328cf2d2b1f0cad84989b3cdfdc69a9452522ffc7a8cfa8fb80515bec3,will-viktor-hovland-win-the-2025-masters,2025-04-13T12:00:00Z,138.895,2025-03-03T20:04:09.600721Z,"[""Yes"", ""No""]","[""0.015"", ""0.985""]",42.0,True,False,2025-03-09T15:19:04.918033Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Viktor Hovland
6,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.05,0.01,0.06,525534,0xcc15be7879f727d6c306c24e987b5db3d63aeb59a8c7033e1ee4a765026dc2d7,will-hideki-matsuyama-win-the-2025-masters,2025-04-13T12:00:00Z,146.885,2025-03-03T20:04:34.966053Z,"[""Yes"", ""No""]","[""0.035"", ""0.965""]",20.0,True,False,2025-03-09T15:18:37.703407Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Hideki Matsuyama
7,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.05,0.01,0.06,525535,0xa5896f61e82824d1823d720f760bdabb028b54647c3a41a8f056b34645843215,will-patrick-cantlay-win-the-2025-masters,2025-04-13T12:00:00Z,97.025,2025-03-03T20:04:59.855285Z,"[""Yes"", ""No""]","[""0.035"", ""0.965""]",10.0,True,False,2025-03-09T15:18:27.813292Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Patrick Cantlay
8,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.05,0.01,0.06,525536,0x0aecb625a587ea495530f4e40a89a2747ae302316f55aeeac9fef9f9295c5125,will-justin-thomas-win-the-2025-masters,2025-04-13T12:00:00Z,96.925,2025-03-03T20:05:54.554987Z,"[""Yes"", ""No""]","[""0.035"", ""0.965""]",20.0,True,False,2025-03-09T15:18:15.304807Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Justin Thomas
9,"[{'id': '19717', 'ticker': '2025-masters-winner', 'slug': '2025-masters-winner', 'title': '2025 Masters Winner', 'description': 'This market will resolve according to the player who wins The 2025 Masters Tournament.\n\nIf this player is mathematically eliminated from contention for The Masters based on the official rules of the tournament (e.g., missing the cut or withdrawing), the relevant market will resolve to ""No"".\n\nIn the event of a tie, this market will resolve according to the official winner as determined by The Masters’ playoff format.\n\nIf no winner is announced by December 31, 2025, this market will resolve to ""Other"".\n\nThe primary resolution source will be the first official results published by The Masters website (masters.com) and other authoritative sources such as the PGA Tour and ESPN.', 'resolutionSource': '', 'startDate': '2025-03-03T20:20:38.283434Z', 'creationDate': '2025-03-03T20:20:38.283428Z', 'endDate': '2025-04-13T12:00:00Z', 'image': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'icon': 'https://polymarket-upload.s3.us-east-2.amazonaws.com/2025-masters-winner-MzMrRLudcY7z.png', 'active': True, 'closed': False, 'archived': False, 'new': False, 'featured': False, 'restricted': True, 'liquidity': 2818.0114, 'volume': 2133.6379, 'openInterest': 0, 'sortBy': 'price', 'createdAt': '2025-02-26T22:38:21.805795Z', 'updatedAt': '2025-03-09T15:16:53.338119Z', 'competitive': 0.91994204365125, 'volume24hr': 188.75, 'enableOrderBook': True, 'liquidityClob': 2818.0114, 'negRisk': True, 'negRiskMarketID': '0xa865b7f35a4b37c6ecdfd0da3fd1eb1d2a5a017f5960ae980ee1aa4c5077e300', 'commentCount': 0, 'cyom': False, 'showAllOutcomes': True, 'showMarketImages': False, 'enableNegRisk': True, 'automaticallyActive': True, 'gmpChartMode': 'default', 'negRiskAugmented': True}]",,0.05,0.01,0.06,525537,0xe948e75b3ba0c7a7f84c688024fbc906d25c3960ce6b24c63f4dd15d7e813bd9,will-tom-kim-win-the-2025-masters,2025-04-13T12:00:00Z,97.045,2025-03-03T20:06:16.135193Z,"[""Yes"", ""No""]","[""0.035"", ""0.965""]",10.0,True,False,2025-03-09T15:18:16.847733Z,False,0x2F5e3684cb1F318ec51b00Edba38d79Ac2c0aA9d,Tom Kim
