,data,next_cursor,limit,count
0,"{'condition_id': '0x9deb0baac40648821f96f01339229a422e2f5c877de55dc4dbf981f95a1e709c', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '14270523446080509320829200481895961480205553513304203367521919818541658424782', 'outcome': 'Chiefs', 'price': 1, 'winner': False}, {'token_id': '93110170397161149119544349457822484949376809039410140245101963942162463626903', 'outcome': 'Raiders', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
1,"{'condition_id': '', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '', 'outcome': '', 'price': 0, 'winner': False}, {'token_id': '', 'outcome': '', 'price': 0, 'winner': False}], 'active': False, 'closed': False, 'archived': True, 'accepting_orders': False}",NTAw,500,500
2,"{'condition_id': '0x5317986240be3ab100ccbebeb8213ab45d1f5c502e6da17e1c9b30f9c6dcb52c', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '112856288650667655013857354239294366111272834754068370340237314111424124768219', 'outcome': 'Yes', 'price': 1, 'winner': True}, {'token_id': '100191321161894038936159668948333366835681046674644978333843323912268864988752', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
3,"{'condition_id': '0x3d23087a0ed34ca1577afb1ae860714e9deddc8ff3cbfc5c15929c1472c59203', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '20492996617166017062175278506524441320525786101399791089815795223193644269098', 'outcome': 'Yes', 'price': 0.0001, 'winner': False}, {'token_id': '69937450069093607408209673465654674207277624495828115118359242914565762427584', 'outcome': 'No', 'price': 0.9999, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
4,"{'condition_id': '0x9831cf4e59285e5487e788d8a1435cb4753b9076a38512848ac1488348192f27', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '67301836300648827488886150283993448209143439372241617696200490831510066942724', 'outcome': 'Yes', 'price': 1, 'winner': True}, {'token_id': '907903699987598009902403958622657458213146566775626217698774584405888798686', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
5,"{'condition_id': '0x92e46e922e9f87353535007c0e254ec43fc97c84a4a9a11a135d6c8d5c1ddf3d', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '31516658159749091294002641874775521581363766436343246251138419132667956781116', 'outcome': 'Maddalena', 'price': 1, 'winner': True}, {'token_id': '20077286132041045783883836004427581823874145750494828574699716753021450637896', 'outcome': 'Brown', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
6,"{'condition_id': '0x81d356ed5d42b84038a414187a8bb64afb597946c89c629220a98736bea25421', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '8906446780448623832893600210111371071244279387238615932903449715921300937001', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '107769875160057555039337348020895416047225505171241010542976421192627347642224', 'outcome': 'No', 'price': 0, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
7,"{'condition_id': '0x2a5cf651ddefca0f57f09a3eee5e1ec7372012453deb8aeada73bd0e80710123', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '57069541293691464872739795149914974745895488382005475601197514215101185779756', 'outcome': 'Lakers', 'price': 0.9693, 'winner': False}, {'token_id': '53017341016858562276010634790755396812097689160191323369071972156618236395677', 'outcome': 'Warriors', 'price': 0.0307, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
8,"{'condition_id': '0x4f036df28c705bf2e02318dac9e82fe3da62c682a238d37f16e389737dccafc6', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '78383847163528190035708608095701681360797858898215934742325379956281696898450', 'outcome': 'Yes', 'price': 0.9979, 'winner': False}, {'token_id': '67877785771240195286231692769521284944234059747296295689982331964017847664547', 'outcome': 'No', 'price': 0.0021, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
9,"{'condition_id': '0x7bc9c1311924e8dc2907dc00591b3d9528683f75924b99c436cca16dca39a28d', 'rewards': {'rates': None, 'min_size': 0, 'max_spread': 0}, 'tokens': [{'token_id': '18701906317507298752028556213680793592795050346143743596744388137594776057836', 'outcome': 'Bulls', 'price': 0.0002, 'winner': False}, {'token_id': '34749407249115988099461158639261123799269751012656013247968288048709628939505', 'outcome': 'Grizzlies', 'price': 0.9998, 'winner': False}], 'active': True, 'closed': True, 'archived': False, 'accepting_orders': False}",NTAw,500,500
